400899387,Raptors,Lakers,123,114
Enes Kanter,C,0,22,8-11,0-1,0-0,1,5,6,0,0,0,2,2,-1,16
Semaj Christon,PG,0,20,2-6,1-1,0-1,0,0,0,2,2,0,1,1,+10,5
Alex Abrines,SG,0,2,1-1,0-0,3-3,0,0,0,0,1,0,0,0,+0,5
Anthony Morrow,SG,0,6,3-5,0-1,0-0,0,0,0,1,1,0,0,1,+2,6
Nick Collison,PF,0,DNP-COACH'S DECISION
TEAM,,,,45-95,9-26,14-17,10,35,45,29,15,6,19,22,,113
 ,,,,47.4%,34.6%,82.4%

400899498,Lakers,Pacers,108,115
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,20,3-6,0-1,3-3,0,10,10,0,1,0,3,6,+3,9
Luol Deng,SF,1,21,5-10,0-1,0-0,1,5,6,1,0,0,1,1,-2,10
Timofey Mozgov,C,1,19,3-7,0-1,0-0,3,2,5,0,0,0,1,2,-2,6
D'Angelo Russell,PG,1,19,3-10,0-4,5-5,0,0,0,3,0,0,2,2,+3,11
Nick Young,SG,1,21,3-6,2-4,0-0,0,4,4,0,0,0,0,3,-2,8
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Tarik Black,PF,0,19,1-2,0-0,4-4,2,6,8,1,0,1,1,3,-3,6
Larry Nance Jr.,PF,0,30,4-10,0-1,3-4,4,1,5,1,6,1,3,3,-7,11
Brandon Ingram,SF,0,15,1-4,0-2,0-0,0,3,3,1,0,0,1,2,-3,2
Metta World Peace,SF,0,3,0-0,0-0,2-4,0,0,0,0,0,0,0,0,-3,2
Jose Calderon,PG,0,17,3-4,1-2,2-2,0,2,2,2,1,0,3,1,-10,9
Jordan Clarkson,PG,0,31,7-16,0-4,1-1,1,0,1,0,0,0,0,2,-12,15
Lou Williams,SG,0,27,7-14,3-8,2-2,0,0,0,5,0,0,4,0,+3,19
Marcelo Huertas,PG,0,DNP-COACH'S DECISION
TEAM,,,,40-89,6-28,22-25,11,33,44,14,8,2,19,25,,108
 ,,,,44.9%,21.4%,88.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Thaddeus Young,PF,1,28,6-8,2-4,0-0,1,5,6,3,2,1,0,2,+12,14
Paul George,SF,1,37,8-16,2-5,12-12,2,5,7,1,4,1,6,2,+10,30
Myles Turner,C,1,25,2-7,0-1,5-7,0,6,6,2,0,2,1,5,+6,9
Jeff Teague,PG,1,33,4-15,1-7,0-2,1,5,6,6,2,0,3,2,+7,9
Monta Ellis,SG,1,38,6-14,2-5,3-4,0,2,2,3,0,2,2,2,+3,17
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Lavoy Allen,PF,0,19,2-3,0-0,0-0,2,1,3,1,1,0,0,1,+0,4
CJ Miles,SF,0,23,6-9,2-3,2-2,1,1,2,0,1,1,1,1,-2,16
Al Jefferson,C,0,14,2-6,0-0,0-0,2,5,7,1,0,0,1,4,+3,4
Kevin Seraphin,C,0,8,2-2,0-0,0-0,1,2,3,0,0,0,1,0,-4,4
Aaron Brooks,PG,0,16,3-7,1-3,1-2,1,0,1,2,0,1,0,1,+0,8
Georges Niang,F,0,DNP-COACH'S DECISION
Joe Young,PG,0,DNP-COACH'S DECISION
Glenn Robinson III,SG,0,DNP-COACH'S DECISION
TEAM,,,,41-87,10-28,23-29,11,32,43,19,10,8,15,20,,115
 ,,,,47.1%,35.7%,79.3%

400899509,Lakers,Hawks,123,116
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Julius Randle,PF,1,28,3-7,0-1,3-4,2,4,6,2,1,1,2,4,+10,9
Luol Deng,SF,1,26,4-11,1-1,4-4,3,7,10,2,2,1,1,1,+12,13
Ivica Zubac,C,1,19,3-4,0-0,0-0,2,2,4,0,1,0,0,4,+10,6
D'Angelo Russell,PG,1,31,9-19,1-3,4-4,1,3,4,8,2,3,4,1,+8,23
Nick Young,SG,1,26,6-11,3-7,2-2,0,1,1,2,0,0,1,1,+10,17
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Tarik Black,PF,0,16,2-4,0-0,0-0,2,1,3,0,0,1,0,5,-10,4
Larry Nance Jr.,PF,0,26,6-8,0-1,0-0,1,6,7,1,2,1,1,1,+0,12
Brandon Ingram,SF,0,22,1-2,1-1,0-0,0,2,2,2,0,1,2,2,-3,3
Jordan Clarkson,PG,0,23,8-13,1-3,1-2,0,2,2,3,1,1,3,4,-5,18
Lou Williams,SG,0,23,6-11,2-5,4-4,0,3,3,4,2,0,1,2,+3,18
Thomas Robinson,PF,0,DNP-COACH'S DECISION
Jose Calderon,PG,0,DNP-COACH'S DECISION
Marcelo Huertas,PG,0,DNP-COACH'S DECISION
TEAM,,,,48-90,9-22,18-20,11,31,42,24,11,9,15,25,,123
 ,,,,53.3%,40.9%,90.0%
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Paul Millsap,PF,1,35,3-10,1-4,3-4,1,6,7,2,1,0,3,2,-3,10
Dwight Howard,C,1,32,12-16,0-0,7-10,3,8,11,0,3,0,3,4,-7,31
Dennis Schroder,PG,1,29,4-11,1-3,2-2,0,2,2,6,1,0,2,2,-11,11
Kyle Korver,SG,1,27,1-6,1-6,0-0,0,4,4,2,0,0,1,3,-12,3
Kent Bazemore,SG,1,31,5-13,1-6,0-0,0,0,0,6,3,0,0,1,-7,11
BENCH,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Mike Muscala,PF,0,15,3-3,1-1,0-0,3,2,5,3,0,0,1,1,+4,7
Kris Humphries,PF,0,14,3-6,1-2,4-4,1,0,1,1,0,0,2,3,-10,11
Tim Hardaway Jr.,SF,0,21,8-10,5-7,5-7,0,0,0,1,0,1,3,0,+7,26
Thabo Sefolosha,SF,0,19,2-6,0-2,0-0,1,3,4,3,2,0,2,0,+4,4
Malcolm Delaney,PG,0,18,0-4,0-1,2-2,1,2,3,6,0,0,1,3,+0,2
Ryan Kelly,PF,0,DNP-COACH'S DECISION
DeAndre' Bembry,SF,0,DNP-COACH'S DECISION
Taurean Prince,SF,0,DNP-COACH'S DECISION
TEAM,,,,41-85,11-32,23-29,10,27,37,30,10,1,18,19,,116
 ,,,,48.2%,34.4%,79.3%

400899528,Warriors,Lakers,97,117
STARTERS,position,xf,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,+/-,PTS
Draymond Green,PF,1,34,6-10,0-3,4-6,2,7,9,4,4,0,1,1,-9,16
